"post","treated","baci_relaxed","baci_strict","flag","mmsi","year","year_c","month","month_c","date","hours","gear"
FALSE,FALSE,TRUE,TRUE,"MHL",538060015,2012,"2012",7,"7",2012-07-01,16.0955555555556,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060017,2012,"2012",7,"7",2012-07-01,32.4341666666667,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060019,2012,"2012",7,"7",2012-07-01,26.1244444444444,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"ECU",735057587,2012,"2012",7,"7",2012-07-01,3.88986111111111,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"CHN",412420796,2012,"2012",8,"8",2012-08-01,286.946944444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"CHN",412695550,2012,"2012",8,"8",2012-08-01,13.0761111111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"CHN",412695560,2012,"2012",8,"8",2012-08-01,380.582916666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"CHN",412695580,2012,"2012",8,"8",2012-08-01,289.576666666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"CHN",412695630,2012,"2012",8,"8",2012-08-01,25.1655555555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431070000,2012,"2012",8,"8",2012-08-01,694.960416666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431206000,2012,"2012",8,"8",2012-08-01,306.600555555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431251000,2012,"2012",8,"8",2012-08-01,671.980277777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431253000,2012,"2012",8,"8",2012-08-01,627.731527777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431725000,2012,"2012",8,"8",2012-08-01,394.667638888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431798000,2012,"2012",8,"8",2012-08-01,377.350833333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440280000,2012,"2012",8,"8",2012-08-01,451.675694444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440298000,2012,"2012",8,"8",2012-08-01,5.38430555555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440731000,2012,"2012",8,"8",2012-08-01,686.316111111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440772000,2012,"2012",8,"8",2012-08-01,662.777777777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440885000,2012,"2012",8,"8",2012-08-01,693.740972222222,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440944000,2012,"2012",8,"8",2012-08-01,598.985555555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440946000,2012,"2012",8,"8",2012-08-01,643.856805555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441072000,2012,"2012",8,"8",2012-08-01,545.682777777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441584000,2012,"2012",8,"8",2012-08-01,295.868055555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",432261000,2012,"2012",8,"8",2012-08-01,5.87347222222222,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060007,2012,"2012",8,"8",2012-08-01,20.1991666666667,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060008,2012,"2012",8,"8",2012-08-01,9.92361111111111,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060015,2012,"2012",8,"8",2012-08-01,5.02569444444444,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060017,2012,"2012",8,"8",2012-08-01,1.82402777777778,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"ECU",735057587,2012,"2012",8,"8",2012-08-01,1.14263888888889,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"JPN",431070000,2012,"2012",9,"9",2012-09-01,209.845138888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431101320,2012,"2012",9,"9",2012-09-01,515.322361111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431206000,2012,"2012",9,"9",2012-09-01,691.677361111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431251000,2012,"2012",9,"9",2012-09-01,693.2725,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431253000,2012,"2012",9,"9",2012-09-01,317.44375,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431725000,2012,"2012",9,"9",2012-09-01,693.275277777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431798000,2012,"2012",9,"9",2012-09-01,587.116388888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",432388000,2012,"2012",9,"9",2012-09-01,3.43027777777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440280000,2012,"2012",9,"9",2012-09-01,633.278888888889,"drifting_longlines"
