"mmsi","treated","gear","flag"
440936000,TRUE,"drifting_longlines","KOR"
440941000,TRUE,"drifting_longlines","KOR"
440944000,FALSE,"drifting_longlines","KOR"
440946000,FALSE,"drifting_longlines","KOR"
440952000,TRUE,"drifting_longlines","KOR"
440954000,TRUE,"drifting_longlines","KOR"
440963000,TRUE,"drifting_longlines","KOR"
440986000,TRUE,"drifting_longlines","KOR"
440987000,TRUE,"drifting_longlines","KOR"
440990000,TRUE,"purse_seines","KOR"
440992000,TRUE,"drifting_longlines","KOR"
441018000,TRUE,"drifting_longlines","KOR"
441024000,TRUE,"purse_seines","KOR"
441043000,TRUE,"drifting_longlines","KOR"
441066000,TRUE,"purse_seines","KOR"
441072000,FALSE,"drifting_longlines","KOR"
441084000,TRUE,"drifting_longlines","KOR"
441098000,TRUE,"drifting_longlines","KOR"
441166000,TRUE,"purse_seines","KOR"
441251000,TRUE,"drifting_longlines","KOR"
441374000,TRUE,"drifting_longlines","KOR"
441446000,TRUE,"purse_seines","KOR"
441483000,TRUE,"drifting_longlines","KOR"
441493000,TRUE,"purse_seines","KOR"
441536000,TRUE,"drifting_longlines","KOR"
441584000,FALSE,"drifting_longlines","KOR"
441644000,TRUE,"drifting_longlines","KOR"
441645000,TRUE,"drifting_longlines","KOR"
441650000,TRUE,"drifting_longlines","KOR"
441660000,TRUE,"drifting_longlines","KOR"
441675000,TRUE,"purse_seines","KOR"
441680000,TRUE,"drifting_longlines","KOR"
441811000,TRUE,"drifting_longlines","KOR"
441812000,TRUE,"drifting_longlines","KOR"
441837000,TRUE,"purse_seines","KOR"
441853000,TRUE,"purse_seines","KOR"
441869000,TRUE,"drifting_longlines","KOR"
441930000,TRUE,"purse_seines","KOR"
444080710,TRUE,"purse_seines",""
452005511,TRUE,"purse_seines",""
510056000,FALSE,"purse_seines","FSM"
510057000,TRUE,"purse_seines","FSM"
512000089,TRUE,"purse_seines","NZL"
512012000,TRUE,"purse_seines","NZL"
520217000,TRUE,"drifting_longlines","FJI"
520218000,TRUE,"drifting_longlines","FJI"
520225000,FALSE,"drifting_longlines","FJI"
520238000,TRUE,"drifting_longlines","FJI"
520241000,TRUE,"drifting_longlines","FJI"
520243000,FALSE,"drifting_longlines","FJI"
529417000,TRUE,"purse_seines","KIR"
529440000,TRUE,"purse_seines","KIR"
529469000,TRUE,"purse_seines","KIR"
529676000,TRUE,"purse_seines","KIR"
529686000,TRUE,"purse_seines","KIR"
529687000,TRUE,"purse_seines","KIR"
529695000,TRUE,"purse_seines","KIR"
529729000,TRUE,"purse_seines","KIR"
529783000,TRUE,"purse_seines","KIR"
538060005,TRUE,"purse_seines","MHL"
538060006,TRUE,"purse_seines","MHL"
538060007,FALSE,"purse_seines","MHL"
538060008,FALSE,"purse_seines","MHL"
538060015,FALSE,"purse_seines","MHL"
538060016,FALSE,"purse_seines","MHL"
